"Apertium individual as object in a triple,""Property to use with lexical entry as subject",,,,
"(not necessarily pos)"",""Lexinfo individual OR Apertium individual OR blank node",,,,
"as object"",Abbreviation for URI,Comments",,,,
apertium:atp,lexinfo:termElement,lexinfo:prefix,,
apertium:attr,lexinfo:morphosyntacticProperty,apertium:attr,,
apertium:Attr,lexinfo:morphosyntacticProperty,apertium:Attr,,
apertium:ATZ,lexinfo:morphosyntacticProperty,apertium:ATZ,,
apertium:AUR,lexinfo:morphosyntacticProperty,apertium:AUR,,
apertium:AURK,lexinfo:morphosyntacticProperty,apertium:AURK,,
apertium:auxser,lexinfo:morphosyntacticProperty,apertium:auxser,,
apertium:B1,lexinfo:morphosyntacticProperty,apertium:B1,,
apertium:B2,lexinfo:morphosyntacticProperty,apertium:B2,,
apertium:B3,lexinfo:morphosyntacticProperty,apertium:B3,,
apertium:B4,lexinfo:morphosyntacticProperty,apertium:B4,,
apertium:B5A,lexinfo:morphosyntacticProperty,apertium:B5A,,
apertium:B5B,lexinfo:morphosyntacticProperty,apertium:B5B,,
apertium:B6,lexinfo:morphosyntacticProperty,apertium:B6,,
apertium:B7,lexinfo:morphosyntacticProperty,apertium:B7,,
apertium:B8,lexinfo:morphosyntacticProperty,apertium:B8,,
apertium:bald,lexinfo:morphosyntacticProperty,apertium:bald,,
apertium:BALD,lexinfo:morphosyntacticProperty,apertium:BALD,,
apertium:BAN,lexinfo:morphosyntacticProperty,apertium:BAN,,
apertium:bast,lexinfo:morphosyntacticProperty,apertium:bast,,
apertium:ber,lexinfo:morphosyntacticProperty,apertium:ber,,
apertium:ber-an,lexinfo:morphosyntacticProperty,apertium:ber-an,,
apertium:ber-kan,lexinfo:morphosyntacticProperty,apertium:ber-kan,,
apertium:BNK,lexinfo:morphosyntacticProperty,apertium:BNK,,
apertium:BST,lexinfo:morphosyntacticProperty,apertium:BST,,
apertium:BURU,lexinfo:morphosyntacticProperty,apertium:BURU,,
apertium:card,lexinfo:morphosyntacticProperty,apertium:card,,
apertium:cas,lexinfo:morphosyntacticProperty,apertium:cas,,
apertium:caus,lexinfo:case,lexinfo:causativeCase,,
apertium:caus,lexinfo:voice, apertium:caus,,
apertium:CC,lexinfo:partOfSpeech,lexinfo:coordinatingConjunction,conj,
apertium:CD,lexinfo:morphosyntacticProperty,apertium:CD,,
apertium:cgguess,lexinfo:morphosyntacticProperty,apertium:cgguess,,
apertium:cip,lexinfo:morphosyntacticProperty,apertium:cip,,
apertium:cit,lexinfo:morphosyntacticProperty,apertium:cit,,
apertium:clb,lexinfo:morphosyntacticProperty,apertium:clb,,
apertium:clb,lexinfo:partOfSpeech,lexinfo:punctuation,punct,
apertium:CLB,lexinfo:morphosyntacticProperty,apertium:CLB,,
apertium:CLB,lexinfo:partOfSpeech,lexinfo:punctuation,punct,
apertium:clt,lexinfo:morphosyntacticProperty,apertium:clt,,
apertium:clt,lexinfo:termType,lexinfo:bound,,
apertium:cm,lexinfo:partOfSpeech,lexinfo:comma,punct,
apertium:cmp,lexinfo:termType,lexinfo:compound,,
apertium:cmp,lexinfo:morphosyntacticProperty,apertium:cmp,,
apertium:Cmp,lexinfo:termType,lexinfo:compound,,
apertium:Cmp,lexinfo:morphosyntacticProperty,apertium:Cmp,,
apertium:cni,lexinfo:verbFormMood,lexinfo:conditional,,
apertium:cnj,lexinfo:partOfSpeech,lexinfo:conjunction,conj,
apertium:cnjadv,lexinfo:morphosyntacticProperty,apertium:cnjadv,,
apertium:cnjadv,lexinfo:partOfSpeech, lexinfo:adverb, adv,
apertium:cnjadv,lexinfo:partOfSpeech, lexinfo:subordinatingConjunction, sconj,
apertium:cnjcoo,lexinfo:partOfSpeech,lexinfo:coordinatingConjunction,cconj,
apertium:cnjloc,lexinfo:morphosyntacticProperty,apertium:cnjloc,,
apertium:cnjsub,lexinfo:partOfSpeech,lexinfo:subordinatingConjunction,sconj,
apertium:cns,lexinfo:morphosyntacticProperty,apertium:cns,,
apertium:cnt,lexinfo:morphosyntacticProperty,apertium:cnt,,
apertium:cog,lexinfo:partOfSpeech,lexinfo:properNoun,propn,
apertium:cog,lexinfo:morphosyntacticProperty,apertium:cog,,
apertium:coll,lexinfo:number,lexinfo:collective,,
apertium:Coll,lexinfo:number,lexinfo:collective,,
apertium:com,lexinfo:case,lexinfo:comitativeCase,,
apertium:Com,lexinfo:morphosyntacticProperty,apertium:Com,,
apertium:comma,lexinfo:partOfSpeech,lexinfo:comma,punct,
apertium:comp,lexinfo:degree,apertium:comp,,
apertium:comp,lexinfo:degree,lexinfo:comparative,,
apertium:Comp,lexinfo:degree,apertium:Comp,,
apertium:Comp,lexinfo:degree,lexinfo:comparative,,
apertium:ComPxCPlCom,lexinfo:morphosyntacticProperty,apertium:ComPxCPlCom,,
apertium:Cond,lexinfo:morphosyntacticProperty,apertium:Cond,,
apertium:Cond,lexinfo:verbFormMood,lexinfo:conditional,,
apertium:Cond2,lexinfo:morphosyntacticProperty,apertium:Cond2,,
apertium:Cond3,lexinfo:morphosyntacticProperty,apertium:Cond3,,
apertium:conj,lexinfo:partOfSpeech,lexinfo:conjunction,conj,
apertium:ConNeg,lexinfo:morphosyntacticProperty,apertium:ConNeg,,
apertium:coop,lexinfo:morphosyntacticProperty,apertium:coop,,
apertium:cop,lexinfo:partOfSpeech,lexinfo:copula,verb,
apertium:cpd,lexinfo:morphosyntacticProperty,apertium:cpd,,
apertium:cs,lexinfo:partOfSpeech,lexinfo:subordinatingConjunction,conj,
apertium:CS,lexinfo:partOfSpeech,lexinfo:subordinatingConjunction,conj,
apertium:ct,lexinfo:number,apertium:ct,,
apertium:cuavb,lexinfo:morphosyntacticProperty,apertium:cuavb,,
apertium:dash,lexinfo:morphosyntacticProperty,apertium:dash,,
apertium:dash,lexinfo:partOfSpeech,lexinfo:punctuation,punct,
apertium:dat,lexinfo:case,lexinfo:dativeCase,,
apertium:DAT,lexinfo:morphosyntacticProperty,apertium:DAT,,
apertium:DD,lexinfo:morphosyntacticProperty,apertium:DD,,
