afr nld
arg cat
bel rus
br fr
cat ita
cat srd
crh tur
cym eng
dan nor
eng cat
eng kaz
en gl
eng spa
eo ca
eo en
eo es
eo fr
es gl
es pt
es ro
eu en
eu es
fra cat
fr es
hbs eng
hbs mkd
hbs slv
ind zlm
isl eng
isl swe
kaz rus
kaz tat
mkd bul
mkd eng
mlt ara
nno nob
oc ca
oc es
oci fra
pol szl
por cat
pt gl
ron cat
rus ukr
sme nob
spa arg
spa ast
spa cat
spa ita
srd ita
swe dan
swe nor
urd hin
